Walk	VB	walk
be	VB	be
very	RB	very
concerned	VBN	concern
about	IN	about
their	PP$	their
evolution	NN	evolution
,	,	,
because	IN	because
it	PP	it
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
connected	VBN	connect
to	TO	to
our	PP$	our
evolution	NN	evolution
as	IN	as
well	RB	well
.	SENT	.
So	IN	so
part	NN	part
of	IN	of
my	PP$	my
thinking	NN	thinking
,	,	,
and	CC	and
part	NN	part
of	IN	of
my	PP$	my
wishes	NNS	wish
,	,	,
is	VBZ	be
sitting	VBG	sit
with	IN	with
these	DT	these
thoughts	NNS	thought
in	IN	in
mind	NN	mind
,	,	,
and	CC	and
thinking	VBG	think
about	RB	about
,	,	,
"	``	"
How	WRB	how
is	VBZ	be
their	PP$	their
life	NN	life
going	VBG	go
to	TO	to
be	VB	be
when	WRB	when
they	PP	they
want	VBP	want
to	TO	to
have	VB	have
children	NNS	child
,	,	,
or	CC	or
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
ready	JJ	ready
to	TO	to
get	VB	get
married	JJ	married
20	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
â	NP	<unknown>
or	CC	or
whatever	WDT	whatever
,	,	,
15	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
?	SENT	?
"	''	"
And	CC	and
to	TO	to
me	PP	me
that	WDT	that
has	VBZ	have
been	VBN	be
the	DT	the
core	NN	core
behind	IN	behind
most	JJS	most
of	IN	of
my	PP$	my
thinking	VBG	think
â	NP	<unknown>
in	IN	in
my	PP$	my
work	NN	work
,	,	,
and	CC	and
also	RB	also
for	IN	for
this	DT	this
incredible	JJ	incredible
chance	NN	chance
to	TO	to
have	VB	have
some	DT	some
wishes	NNS	wish
.	SENT	.
Wish	NN	wish
one	CD	one
:	:	:
world-changing	VBG	world-change
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
use	VB	use
my	PP$	my
images	NNS	image
to	TO	to
persuade	VB	persuade
millions	NNS	million
of	IN	of
people	NNS	people
to	TO	to
join	VB	join
in	IN	in
the	DT	the
global	JJ	global
conversation	NN	conversation
on	IN	on
sustainability	NN	sustainability
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
through	IN	through
communications	NNS	communication
today	NN	today
that	IN	that
I	PP	I
believe	VBP	believe
that	IN	that
that	DT	that
is	VBZ	be
not	RB	not
an	DT	an
unreal	JJ	unreal
idea	NN	idea
.	SENT	.
Oh	UH	oh
,	,	,
and	CC	and
I	PP	I
went	VBD	go
in	IN	in
search	NN	search
â	NP	<unknown>
I	NP	I
wanted	VBD	want
to	TO	to
put	VB	put
what	WP	what
I	PP	I
had	VBD	have
in	IN	in
mind	NN	mind
,	,	,
hitch	VB	hitch
it	PP	it
onto	IN	onto
something	NN	something
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
a	DT	a
wish	NN	wish
just	RB	just
to	TO	to
start	VB	start
from	IN	from
nowhere	RB	nowhere
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
I	PP	I
'	POS	'
m	NN	m
starting	VBG	start
from	IN	from
almost	RB	almost
nothing	NN	nothing
,	,	,
but	CC	but
the	DT	the
other	JJ	other
one	CD	one
,	,	,
I	PP	I
wanted	VBD	want
to	TO	to
find	VB	find
out	RP	out
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
that	DT	that
'	''	'
s	NNS	<unknown>
working	VBG	work
right	RB	right
now	RB	now
.	SENT	.
And	CC	and
Worldchanging	NP	<unknown>
.	SENT	.
com	NN	com
is	VBZ	be
a	DT	a
fantastic	JJ	fantastic
blog	NN	<unknown>
,	,	,
and	CC	and
that	IN	that
blog	NN	<unknown>
is	VBZ	be
now	RB	now
being	VBG	be
visited	VBN	visit
by	IN	by
close	NN	close
to	TO	to
half-a-million	NN	half-a-million
people	NNS	people
a	DT	a
month	NN	month
.	SENT	.
And	CC	and
it	PP	it
just	RB	just
started	VBD	start
about	RB	about
14	CD	@card@
months	NNS	month
ago	RB	ago
.	SENT	.
And	CC	and
the	DT	the
beauty	NN	beauty
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
there	EX	there
is	VBZ	be
that	IN	that
the	DT	the
tone	NN	tone
of	IN	of
the	DT	the
conversation	NN	conversation
is	VBZ	be
the	DT	the
tone	NN	tone
that	IN	that
I	PP	I
like	VBP	like
.	SENT	.
What	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
there	EX	there
is	VBZ	be
that	IN	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
â	NP	<unknown>
I	PP	I
think	VBP	think
the	DT	the
environmental	JJ	environmental
movement	NN	movement
has	VBZ	have
failed	VBN	fail
in	IN	in
that	IN	that
it	PP	it
'	POS	'
s	NN	S
used	VBD	use
the	DT	the
stick	NN	stick
too	RB	too
much	RB	much
;	:	;
it	PP	it
'	POS	'
s	NN	S
used	VBD	use
the	DT	the
apocalyptic	JJ	apocalyptic
tone	NN	tone
too	RB	too
much	RB	much
;	:	;
it	PP	it
hasn	NNS	<unknown>
'	POS	'
t	NN	t
sold	VBD	sell
the	DT	the
positive	JJ	positive
aspects	NNS	aspect
of	IN	of
being	VBG	be
environmentally	RB	environmentally
concerned	VBN	concern
and	CC	and
trying	VBG	try
to	TO	to
pull	VB	pull
us	PP	us
out	RP	out
.	SENT	.
Whereas	IN	whereas
this	DT	this
conversation	NN	conversation
that	WDT	that
is	VBZ	be
going	VBG	go
on	IN	on
in	IN	in
this	DT	this
blog	NN	<unknown>
is	VBZ	be
about	RB	about
positive	JJ	positive
movements	NNS	movement
,	,	,
about	RB	about
how	WRB	how
to	TO	to
change	VB	change
our	PP$	our
world	NN	world
in	IN	in
a	DT	a
better	JJR	good
way	NN	way
,	,	,
quickly	RB	quickly
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
technology	NN	technology
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
new	JJ	new
energy-saving	JJ	energy-saving
devices	NNS	device
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
how	WRB	how
to	TO	to
rethink	VB	rethink
and	CC	and
how	WRB	how
to	TO	to
re-strategize	VB	<unknown>
the	DT	the
movement	NN	movement
towards	IN	towards
sustainability	NN	sustainability
.	SENT	.
And	CC	and
so	RB	so
for	IN	for
me	PP	me
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	PP	I
thought	VBD	think
would	MD	would
be	VB	be
to	TO	to
put	VB	put
some	DT	some
of	IN	of
my	PP$	my
work	NN	work
in	IN	in
the	DT	the
service	NN	service
of	IN	of
promoting	VBG	promote
the	DT	the
Worldchanging	NN	Worldchanging
.	SENT	.
com	NN	com
website	NN	website
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
might	MD	might
know	VB	know
,	,	,
he	PP	he
'	POS	'
s	NN	S
a	DT	a
TEDster	NP	<unknown>
â	NP	<unknown>
Stephen	NP	Stephen
Sagmeister	NP	Sagmeister
and	CC	and
I	PP	I
are	VBP	be
working	VBG	work
on	IN	on
some	DT	some
layouts	NNS	layout
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
still	RB	still
in	IN	in
preliminary	JJ	preliminary
stages	NNS	stage
;	:	;
these	DT	these
aren	NN	<unknown>
'	POS	'
t	NN	t
the	DT	the
finals	NNS	final
.	SENT	.
But	CC	but
these	DT	these
images	NNS	image
,	,	,
with	IN	with
Worldchanging	NN	Worldchanging
.	SENT	.
com	NN	com
,	,	,
can	MD	can
be	VB	be
placed	VBN	place
into	IN	into
any	DT	any
kind	NN	kind
of	IN	of
media	NNS	medium
.	SENT	.
They	PP	they
could	MD	could
be	VB	be
posted	VBN	post
through	IN	through
the	DT	the
Web	NP	Web
;	:	;
they	PP	they
could	MD	could
be	VB	be
used	VBN	use
as	IN	as
a	DT	a
billboard	NN	billboard
or	CC	or
a	DT	a
bus	NN	bus
shelter	NN	shelter
,	,	,
or	CC	or
anything	NN	anything
of	IN	of
that	DT	that
nature	NN	nature
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
this	DT	this
as	RB	as
trying	VBG	try
to	TO	to
build	VB	build
out	RP	out
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
ended	VBD	end
up	RP	up
discussing	VBG	discuss
was	VBD	be
that	IN	that
in	IN	in
most	JJS	most
media	NNS	medium
you	PP	you
get	VBP	get
mostly	RB	mostly
an	DT	an
image	NN	image
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
text	NN	text
,	,	,
and	CC	and
the	DT	the
text	NN	text
is	VBZ	be
blasted	VBN	blast
all	RB	all
over	RB	over
.	SENT	.
What	WP	what
was	VBD	be
unusual	JJ	unusual
,	,	,
according	VBG	accord
to	TO	to
Stephen	NP	Stephen
,	,	,
is	VBZ	be
less	JJR	less
than	IN	than
five	CD	five
percent	NN	percent
of	IN	of
ads	NNS	ad
are	VBP	be
actually	RB	actually
leading	VBG	lead
with	IN	with
image	NN	image
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
this	DT	this
case	NN	case
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
about	IN	about
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
images	NNS	image
and	CC	and
what	WP	what
they	PP	they
represent	VBP	represent
,	,	,
and	CC	and
the	DT	the
kinds	NNS	kind
of	IN	of
questions	NNS	question
they	PP	they
bring	VBP	bring
up	RB	up
,	,	,
that	IN	that
we	PP	we
thought	VBD	think
letting	VBG	let
the	DT	the
images	NNS	image
play	VBP	play
out	RP	out
and	CC	and
bring	VB	bring
someone	NN	someone
to	TO	to
say	VB	say
,	,	,
"	``	"
Well	UH	well
,	,	,
what	WP	what
'	POS	'
s	NN	S
Worldchanging	NN	Worldchanging
.	SENT	.
com	NN	com
,	,	,
with	IN	with
these	DT	these
images	NNS	image
,	,	,
have	VBP	have
to	TO	to
do	VB	do
?	SENT	?
"	''	"
And	CC	and
hopefully	RB	hopefully
inspire	VB	inspire
people	NNS	people
to	TO	to
go	VB	go
to	TO	to
that	DT	that
website	NN	website
.	SENT	.
So	IN	so
Worldchanging	NP	<unknown>
.	SENT	.
com	NN	com
,	,	,
and	CC	and
building	VBG	build
that	DT	that
blog	NN	<unknown>
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
a	DT	a
blog	NN	<unknown>
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
hoping	VBG	hope
that	IN	that
it	PP	it
isn	NNS	<unknown>
'	POS	'
t	NN	t
â	NP	<unknown>
I	NP	I
don	NN	don
'	POS	'
t	NN	t
see	VB	see
it	PP	it
as	IN	as
the	DT	the
kind	NN	kind
of	IN	of
blog	NN	<unknown>
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
all	RB	all
going	VBG	go
to	TO	to
follow	VB	follow
each	DT	each
other	JJ	other
to	TO	to
death	NN	death
.	SENT	.
This	DT	this
one	CD	one
is	VBZ	be
one	CD	one
that	IN	that
will	NN	will
spoke	VBD	speak
out	RP	out
,	,	,
and	CC	and
will	MD	will
go	VB	go
out	RP	out
,	,	,
and	CC	and
to	TO	to
start	VB	start
reaching	VBG	reach
.	SENT	.
Because	IN	because
right	RB	right
now	RB	now
there	EX	there
'	''	'
s	NN	S
conversations	NNS	conversation
in	IN	in
India	NP	India
,	,	,
in	IN	in
China	NP	China
,	,	,
in	IN	in
South	NP	South
America	NP	America
â	NP	<unknown>
there	RB	there
'	POS	'
s	NN	S
entries	NNS	entry
coming	VBG	come
from	IN	from
all	DT	all
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
chance	NN	chance
to	TO	to
have	VB	have
a	DT	a
dialogue	NN	dialogue
,	,	,
a	DT	a
conversation	NN	conversation
about	IN	about
sustainability	NN	sustainability
at	IN	at
Worldchanging	NP	<unknown>
.	SENT	.
com	NN	com
.	SENT	.
And	CC	and
anything	NN	anything
that	IN	that
you	PP	you
can	MD	can
do	VB	do
to	TO	to
promote	VB	promote
that	WDT	that
would	MD	would
be	VB	be
fantastic	JJ	fantastic
.	SENT	.
Wish	NN	wish
two	CD	two
is	VBZ	be
more	JJR	more
of	IN	of
the	DT	the
bottom-up	JJ	bottom-up
,	,	,
ground-up	JJ	ground-up
one	CD	one
that	IN	that
I	NP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
work	VB	work
with	IN	with
.	SENT	.
And	CC	and
this	DT	this
one	CD	one
is	VBZ	be
:	:	:
I	PP	I
wish	VBP	wish
to	TO	to
launch	VB	launch
a	DT	a
groundbreaking	JJ	groundbreaking
competition	NN	competition
that	WDT	that
motivates	VBZ	motivate
kids	NNS	kid
to	TO	to
invest	VB	invest
ideas	NNS	idea
on	IN	on
,	,	,
and	CC	and
invent	VB	invent
ideas	NNS	idea
on	IN	on
,	,	,
sustainability	NN	sustainability
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
came	VBD	come
out	RP	out
â	NP	<unknown>
Allison	NP	Allison
,	,	,
who	WP	who
actually	RB	actually
nominated	VBD	nominate
me	PP	me
,	,	,
said	VBD	say
something	NN	something
earlier	RBR	earlier
on	IN	on
in	IN	in
a	DT	a
brainstorming	NN	brainstorming
.	SENT	.
She	PP	she
said	VBD	say
that	IN	that
recycling	VBG	recycle
in	IN	in
Canada	NP	Canada
had	VBD	have
a	DT	a
fantastic	JJ	fantastic
entry	NN	entry
into	IN	into
our	PP$	our
psyche	NN	psyche
through	IN	through
kids	NNS	kid
between	IN	between
grade	NN	grade
four	CD	four
and	CC	and
six	CD	six
.	SENT	.
And	CC	and
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
you	PP	you
know	VBP	know
,	,	,
grade	VBP	grade
four	CD	four
â	NP	<unknown>
my	PP$	my
wife	NN	wife
and	CC	and
I	PP	I
,	,	,
we	PP	we
say	VBP	say
age	NN	age
seven	CD	seven
is	VBZ	be
the	DT	the
age	NN	age
of	IN	of
reason	NN	reason
,	,	,
so	IN	so
they	PP	they
'	POS	'
re	NN	re
into	IN	into
the	DT	the
age	NN	age
of	IN	of
reason	NN	reason
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
pre-puberty	NN	pre-puberty
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
this	DT	this
great	JJ	great
window	NN	window
where	WRB	where
they	PP	they
actually	RB	actually
are	VBP	be
â	NP	<unknown>
you	PP	you
can	MD	can
influence	VB	influence
them	PP	them
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
happens	VBZ	happen
at	IN	at
puberty	NN	puberty
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
we	PP	we
know	VBP	know
that	IN	that
from	IN	from
earlier	JJR	early
presentations	NNS	presentation
.	SENT	.
So	IN	so
my	PP$	my
thinking	NN	thinking
here	RB	here
is	VBZ	be
that	IN	that
we	PP	we
try	VBP	try
to	TO	to
motivate	VB	motivate
those	DT	those
kids	NNS	kid
to	TO	to
start	VB	start
driving	VBG	drive
home	NN	home
ideas	NNS	idea
.	SENT	.
Let	VB	let
them	PP	them
understand	VB	understand
what	WP	what
sustainability	NN	sustainability
is	VBZ	be
,	,	,
and	CC	and
that	IN	that
they	PP	they
have	VBP	have
a	DT	a
vested	JJ	vested
interest	NN	interest
in	IN	in
it	PP	it
to	TO	to
happen	VB	happen
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
ways	NNS	way
I	PP	I
thought	VBD	think
of	IN	of
doing	VBG	do
it	PP	it
is	VBZ	be
to	TO	to
use	VB	use
my	PP$	my
prize	NN	prize
,	,	,
so	RB	so
I	PP	I
would	MD	would
take	VB	take
30	CD	@card@
,	,	,
000	CD	@card@
or	CC	or
40	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
of	IN	of
the	DT	the
winnings	NNS	winning
,	,	,
and	CC	and
the	DT	the
rest	NN	rest
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
to	TO	to
manage	VB	manage
this	DT	this
project	NN	project
,	,	,
but	CC	but
to	TO	to
use	VB	use
that	IN	that
as	IN	as
prizes	NNS	prise
for	IN	for
kids	NNS	kid
to	TO	to
get	VB	get
into	IN	into
their	PP$	their
hands	NNS	hand
.	SENT	.
But	CC	but
the	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
I	PP	I
thought	VBD	think
would	MD	would
be	VB	be
fantastic	JJ	fantastic
was	VBD	be
to	TO	to
create	VB	create
these	DT	these
â	NP	<unknown>
call	VBP	call
them	PP	them
"	''	"
prize	NN	prize
targets	NNS	target
.	SENT	.
"	''	"
And	CC	and
so	RB	so
one	PP	one
could	MD	could
be	VB	be
for	IN	for
the	DT	the
best	RBS	well
sustainable	JJ	sustainable
idea	NN	idea
for	IN	for
an	DT	an
in-school	NN	in-school
project	NN	project
,	,	,
the	DT	the
best	JJS	good
one	CD	one
for	IN	for
a	DT	a
household	NN	household
project	NN	project
,	,	,
or	CC	or
it	PP	it
could	MD	could
be	VB	be
the	DT	the
best	JJS	good
community	NN	community
project	NN	project
for	IN	for
sustainability	NN	sustainability
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
thought	VBD	think
there	EX	there
should	MD	should
be	VB	be
a	DT	a
nice	JJ	nice
prize	NN	prize
for	IN	for
the	DT	the
best	JJS	good
artwork	NN	artwork
for	IN	for
"	``	"
In	IN	in
My	PP$	my
World	NN	world
.	SENT	.
"	''	"
And	CC	and
what	WP	what
would	MD	would
happen	VB	happen
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
a	DT	a
scalable	JJ	scalable
thing	NN	thing
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
can	MD	can
get	VB	get
people	NNS	people
to	TO	to
put	VB	put
in	IN	in
things	NNS	thing
â	NP	<unknown>
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
equipment	NN	equipment
,	,	,
like	IN	like
a	DT	a
media	NNS	medium
lab	NN	lab
,	,	,
or	CC	or
money	NN	money
to	TO	to
make	VB	make
the	DT	the
prize	NN	prize
significant	JJ	significant
enough	JJ	enough
â	NP	<unknown>
and	CC	and
to	TO	to
open	VB	open
it	PP	it
up	RP	up
to	TO	to
all	PDT	all
the	DT	the
schools	NNS	school
that	WDT	that
are	VBP	be
public	JJ	public
schools	NNS	school
,	,	,
or	CC	or
schools	NNS	school
that	WDT	that
are	VBP	be
with	IN	with
kids	NNS	kid
that	IN	that
age	NN	age
,	,	,
and	CC	and
make	VB	make
it	PP	it
a	DT	a
wide-open	JJ	wide-open
competition	NN	competition
for	IN	for
them	PP	them
to	TO	to
go	VB	go
after	IN	after
those	DT	those
prizes	NNS	prise
and	CC	and
to	TO	to
submit	VB	submit
them	PP	them
.	SENT	.
And	CC	and
the	DT	the
prize	NN	prize
has	VBZ	have
to	TO	to
be	VB	be
a	DT	a
verifiable	JJ	verifiable
thing	NN	thing
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
just	JJ	just
ideas	NNS	idea
.	SENT	.
The	DT	the
art	NN	art
pieces	NNS	piece
are	VBP	be
about	RB	about
the	DT	the
ideas	NNS	idea
and	CC	and
how	WRB	how
they	PP	they
present	VBP	present
them	PP	them
and	CC	and
do	VB	do
them	PP	them
,	,	,
but	CC	but
the	DT	the
actual	JJ	actual
things	NNS	thing
have	VBP	have
to	TO	to
be	VB	be
verifiable	JJ	verifiable
.	SENT	.
In	IN	in
that	DT	that
way	NN	way
,	,	,
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
is	VBZ	be
that	IN	that
we	PP	we
'	''	'
re	IN	re
motivating	VBG	motivate
a	DT	a
certain	JJ	certain
age	NN	age
group	NN	group
to	TO	to
start	VB	start
thinking	NN	thinking
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
push	VB	push
that	IN	that
up	RB	up
,	,	,
from	IN	from
the	DT	the
bottom	JJ	bottom
â	NP	<unknown>
up	IN	up
into	IN	into
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
into	IN	into
the	DT	the
households	NNS	household
.	SENT	.
And	CC	and
parents	NNS	parent
will	MD	will
be	VB	be
reacting	VBG	react
to	TO	to
it	PP	it
,	,	,
and	CC	and
trying	VBG	try
to	TO	to
help	VB	help
them	PP	them
with	IN	with
the	DT	the
projects	NNS	project
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
starts	VBZ	start
to	TO	to
motivate	VB	motivate
the	DT	the
whole	JJ	whole
idea	NN	idea
towards	IN	towards
sustainability	NN	sustainability
in	IN	in
a	DT	a
very	RB	very
positive	JJ	positive
way	NN	way
,	,	,
and	CC	and
starts	VBZ	start
to	TO	to
teach	VB	teach
them	PP	them
.	SENT	.
They	PP	they
know	VBP	know
about	RB	about
recycling	VBG	recycle
now	RB	now
,	,	,
but	CC	but
they	PP	they
don	NN	don
'	POS	'
t	NN	t
really	RB	really
,	,	,
I	PP	I
think	VBP	think
,	,	,
get	VBP	get
sustainability	NN	sustainability
in	IN	in
all	PDT	all
the	DT	the
things	NNS	thing
,	,	,
and	CC	and
the	DT	the
energy	NN	energy
footprint	NN	footprint
,	,	,
and	CC	and
how	WRB	how
that	DT	that
matters	NNS	matter
.	SENT	.
And	CC	and
to	TO	to
teach	VB	teach
them	PP	them
,	,	,
to	TO	to
me	PP	me
,	,	,
would	MD	would
be	VB	be
a	DT	a
fantastic	JJ	fantastic
wish	NN	wish
,	,	,
and	CC	and
it	PP	it
would	MD	would
be	VB	be
something	NN	something
that	IN	that
I	PP	I
would	MD	would
certainly	RB	certainly
put	VB	put
my	PP$	my
shoulder	NN	shoulder
into	IN	into
.	SENT	.
And	CC	and
again	RB	again
,	,	,
in	IN	in
"	``	"
In	IN	in
My	PP$	my
World	NN	world
,	,	,
"	''	"
the	DT	the
competition	NN	competition
â	NP	<unknown>
we	PP	we
would	MD	would
use	VB	use
the	DT	the
artwork	NN	artwork
that	WDT	that
comes	VBZ	come
in	IN	in
from	IN	from
that	DT	that
competition	NN	competition
to	TO	to
promote	VB	promote
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
like	VBP	like
the	DT	the
words	NNS	word
,	,	,
"	''	"
in	IN	in
my	PP$	my
world	NN	world
,	,	,
"	``	"
because	IN	because
it	PP	it
gives	VBZ	give
possession	NN	possession
of	IN	of
the	DT	the
world	NN	world
to	TO	to
the	DT	the
person	NN	person
who	WP	who
'	POS	'
s	NN	S
doing	VBG	do
it	PP	it
.	SENT	.
It	PP	it
is	VBZ	be
my	PP$	my
world	NN	world
;	:	;
it	PP	it
'	POS	'
s	NN	S
not	RB	not
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
help	VB	help
it	PP	it
;	:	;
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
with	IN	with
it	PP	it
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
it	PP	it
has	VBZ	have
a	DT	a
great	JJ	great
opportunity	NN	opportunity
to	TO	to
engage	VB	engage
the	DT	the
imaginations	NNS	imagination
â	NP	<unknown>
and	CC	and
great	JJ	great
ideas	NNS	idea
,	,	,
I	PP	I
think	VBP	think
,	,	,
come	VBP	come
from	IN	from
kids	NNS	kid
â	NP	<unknown>
and	CC	and
engage	VB	engage
their	PP$	their
imagination	NN	imagination
into	IN	into
a	DT	a
project	NN	project
,	,	,
and	CC	and
do	VBP	do
something	NN	something
for	IN	for
schools	NNS	school
.	SENT	.
I	PP	I
think	VBP	think
all	DT	all
schools	NNS	school
could	MD	could
use	VB	use
extra	JJ	extra
equipment	NN	equipment
,	,	,
extra	JJ	extra
cash	NN	cash
â	NP	<unknown>
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
an	DT	an
incentive	NN	incentive
for	IN	for
them	PP	them
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
ideas	NNS	idea
in	IN	in
terms	NNS	term
of	IN	of
where	WRB	where
we	PP	we
could	MD	could
possibly	RB	possibly
put	VB	put
in	IN	in
some	DT	some
promotion	NN	promotion
for	IN	for
"	``	"
In	IN	in
My	PP$	my
World	NN	world
.	SENT	.
"	''	"
And	CC	and
wish	VBP	wish
three	CD	three
is	VBZ	be
:	:	:
Imax	NP	Imax
film	NN	film
.	SENT	.
So	RB	so
I	PP	I
was	VBD	be
told	VBN	tell
I	PP	I
should	MD	should
do	VB	do
one	PP	one
for	IN	for
myself	PP	myself
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
wanted	VBD	want
to	TO	to
actually	RB	actually
get	VB	get
involved	VBN	involve
with	IN	with
doing	VBG	do
something	NN	something
.	SENT	.
And	CC	and
the	DT	the
scale	NN	scale
of	IN	of
my	PP$	my
work	NN	work
,	,	,
and	CC	and
the	DT	the
kinds	NNS	kind
of	IN	of
ideas	NNS	idea
I	PP	I
'	POS	'
m	NN	m
playing	NN	playing
with	IN	with
â	NP	<unknown>
when	WRB	when
I	PP	I
first	RB	first
saw	VBD	see
an	DT	an
Imax	NP	Imax
film	NN	film
,	,	,
I	PP	I
almost	RB	almost
immediately	RB	immediately
thought	VBD	think
,	,	,
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
real	JJ	real
resonance	NN	resonance
between	IN	between
what	WP	what
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
do	VB	do
and	CC	and
the	DT	the
scale	NN	scale
of	IN	of
what	WP	what
I	PP	I
try	VBP	try
to	TO	to
do	VB	do
as	IN	as
a	DT	a
photographer	NN	photographer
.	SENT	.
"	``	"
And	CC	and
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
real	JJ	real
possibility	NN	possibility
to	TO	to
reach	VB	reach
new	JJ	new
audiences	NNS	audience
if	IN	if
I	PP	I
had	VBD	have
a	DT	a
chance	NN	chance
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
looking	VBG	look
,	,	,
really	RB	really
,	,	,
for	IN	for
a	DT	a
mentor	NN	mentor
,	,	,
because	IN	because
I	PP	I
just	RB	just
had	VBD	have
my	PP$	my
birthday	NN	birthday
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
50	CD	@card@
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
time	NN	time
to	TO	to
go	VB	go
back	RB	back
to	TO	to
school	NN	school
right	RB	right
now	RB	now
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
too	RB	too
busy	JJ	busy
.	SENT	.
So	RB	so
I	PP	I
need	VBP	need
somebody	NN	somebody
who	WP	who
can	MD	can
put	VB	put
me	PP	me
on	IN	on
a	DT	a
quick	JJ	quick
catch-up	NN	catch-up
course	NN	course
on	IN	on
how	WRB	how
to	TO	to
do	VB	do
something	NN	something
like	IN	like
that	DT	that
,	,	,
and	CC	and
lead	VB	lead
me	PP	me
through	IN	through
the	DT	the
maze	NN	maze
of	IN	of
how	WRB	how
one	PP	one
does	VBZ	do
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
That	DT	that
would	MD	would
be	VB	be
fantastic	JJ	fantastic
.	SENT	.
So	RB	so
those	DT	those
are	VBP	be
my	PP$	my
