Marisa	NP	Marisa
'	POS	'
t	NN	t
show	NN	show
up	RB	up
for	IN	for
any	DT	any
,	,	,
right	RB	right
?	SENT	?
Nobody	NN	nobody
remembered	VBD	remember
her	PP	her
,	,	,
but	CC	but
they	PP	they
liked	VBD	like
her	PP	her
a	DT	a
lot	NN	lot
because	IN	because
they	PP	they
had	VBD	have
seen	VBN	see
her	PP$	her
face	NN	face
,	,	,
like	IN	like
this	DT	this
is	VBZ	be
our	PP$	our
brain	NN	brain
,	,	,
right	RB	right
?	SENT	?
And	CC	and
what	WP	what
I	PP	I
think	VBP	think
the	DT	the
other	JJ	other
implication	NN	implication
of	IN	of
mere	JJ	mere
exposure	NN	exposure
effect	NN	effect
is	VBZ	be
in	IN	in
the	DT	the
beginning	NN	beginning
,	,	,
mere	JJ	mere
exposure	NN	exposure
hadn	NN	<unknown>
'	POS	'
t	NN	t
set	VBD	set
in	IN	in
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
awkward	JJ	awkward
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
weary	JJ	weary
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
feel	VB	feel
uncomfortable	JJ	uncomfortable
,	,	,
right	RB	right
?	SENT	?
Maybe	RB	maybe
a	DT	a
little	JJ	little
distrusting	VBG	distrust
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
sign	NN	sign
that	IN	that
you	PP	you
need	VBP	need
to	TO	to
stop	VB	stop
showing	VBG	show
up	RP	up
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
sign	NN	sign
you	PP	you
need	VBP	need
to	TO	to
keep	VB	keep
showing	VBG	show
up	RP	up
because	IN	because
when	WRB	when
you	PP	you
continue	VBP	continue
to	TO	to
show	VB	show
up	RP	up
,	,	,
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
like	VB	like
you	PP	you
more	JJR	more
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
like	VB	like
them	PP	them
more	JJR	more
,	,	,
right	RB	right
?	SENT	?
So	RB	so
I	PP	I
joined	VBD	join
that	IN	that
Spanish	JJ	Spanish
class	NN	class
,	,	,
that	WDT	that
was	VBD	be
repeated	VBN	repeat
over	IN	over
time	NN	time
.	SENT	.
Every	DT	every
day	NN	day
in	IN	in
Spanish	JJ	Spanish
class	NN	class
,	,	,
I	PP	I
would	MD	would
ask	VB	ask
people	NNS	people
to	TO	to
go	VB	go
out	RP	out
to	TO	to
lunch	VB	lunch
with	IN	with
me	PP	me
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
go	VB	go
out	RP	out
to	TO	to
lunch	VB	lunch
together	RB	together
,	,	,
then	RB	then
we	PP	we
went	VBD	go
to	TO	to
Lucha	NP	<unknown>
Libre	NP	Libre
together	RB	together
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
of	IN	of
course	NN	course
,	,	,
I	PP	I
was	VBD	be
only	RB	only
there	RB	there
for	IN	for
10	CD	@card@
days	NNS	day
,	,	,
so	RB	so
I	PP	I
can	MD	can
only	RB	only
go	VB	go
so	RB	so
deep	JJ	deep
with	IN	with
folks	NNS	folk
.	SENT	.
But	CC	but
in	IN	in
general	NN	general
,	,	,
when	WRB	when
you	PP	you
join	VBP	join
this	DT	this
event	NN	event
that	RB	that
'	POS	'
s	NN	S
repeated	VBD	repeat
over	IN	over
time	NN	time
,	,	,
you	PP	you
want	VBP	want
to	TO	to
start	VB	start
generating	VBG	generate
exclusivity	NN	exclusivity
with	IN	with
someone	NN	someone
in	IN	in
that	DT	that
group	NN	group
.	SENT	.
Exclusivity	NN	exclusivity
means	VBZ	mean
you	PP	you
develop	VB	develop
memories	NNS	memory
and	CC	and
you	PP	you
develop	VBP	develop
experiences	NNS	experience
with	IN	with
one	CD	one
person	NN	person
in	IN	in
the	DT	the
group	NN	group
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
with	IN	with
other	JJ	other
people	NNS	people
.	SENT	.
So	RB	so
pick	VB	pick
whoever	WP	whoever
in	IN	in
the	DT	the
group	NN	group
that	IN	that
you	PP	you
really	RB	really
liked	VBD	like
and	CC	and
ask	VB	ask
them	PP	them
,	,	,
"	``	"
Oh	UH	oh
,	,	,
would	MD	would
you	PP	you
be	VB	be
open	JJ	open
to	TO	to
like	VB	like
,	,	,
getting	VBG	get
coffee	NN	coffee
,	,	,
getting	VBG	get
tea	NN	tea
like	IN	like
,	,	,
before	IN	before
or	CC	or
after	IN	after
our	PP$	our
next	JJ	next
group	NN	group
?	SENT	?
"	''	"
Like	IN	like
,	,	,
"	``	"
I	PP	I
love	VBP	love
to	TO	to
hang	VB	hang
out	RP	out
"	''	"
and	CC	and
those	DT	those
are	VBP	be
like	JJ	like
,	,	,
the	DT	the
budding	VBG	bud
stems	VBZ	stem
of	IN	of
friendship	NN	friendship
.	SENT	.
And	CC	and
luckily	RB	luckily
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
in	IN	in
this	DT	this
group	NN	group
,	,	,
right	RB	right
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
put	VB	put
in	IN	in
as	IN	as
much	JJ	much
effort	NN	effort
,	,	,
you	PP	you
had	VBD	have
your	PP$	your
tea	NN	tea
,	,	,
and	CC	and
now	RB	now
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
just	RB	just
continue	VB	continue
to	TO	to
see	VB	see
them	PP	them
over	IN	over
time	NN	time
,	,	,
and	CC	and
you	PP	you
have	VBP	have
the	DT	the
wheel	NN	wheel
start	NN	start
moving	VBG	move
for	IN	for
friendship	NN	friendship
and	CC	and
connection	NN	connection
.	SENT	.
WPR	NN	WPR
:	:	:
So	RB	so
TED	VB	ted
member	NN	member
Celia	NP	Celia
actually	RB	actually
is	VBZ	be
curious	JJ	curious
about	IN	about
virtual	JJ	virtual
friendships	NNS	friendship
and	CC	and
sort	NN	sort
of	IN	of
how	WRB	how
all	DT	all
of	IN	of
this	DT	this
plays	NNS	play
into	IN	into
it	PP	it
,	,	,
especially	RB	especially
to	TO	to
some	DT	some
of	IN	of
the	DT	the
points	NNS	point
you	PP	you
were	VBD	be
making	VBG	make
earlier	RBR	earlier
about	IN	about
the	DT	the
pandemic	NN	pandemic
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
for	IN	for
people	NNS	people
who	WP	who
have	VBP	have
met	VBN	meet
on	IN	on
social	JJ	social
media	NNS	medium
only	RB	only
as	RB	as
opposed	VBN	oppose
to	TO	to
in	IN	in
real	JJ	real
life	NN	life
,	,	,
they	PP	they
ask	VBP	ask
,	,	,
"	``	"
Is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
have	VB	have
a	DT	a
strong	JJ	strong
virtual	JJ	virtual
friendship	NN	friendship
?	SENT	?
How	WRB	how
important	JJ	important
is	VBZ	be
in-person	NN	in-person
connection	NN	connection
or	CC	or
getting	VBG	get
together	RB	together
in	IN	in
real	JJ	real
life	NN	life
?	SENT	?
"	''	"
MF	NN	MF
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
such	PDT	such
a	DT	a
nuanced	JJ	nuanced
question	NN	question
in	IN	in
some	DT	some
ways	NNS	way
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
"	``	"
both	CC	both
/	SYM	/
and	NP	and
.	SENT	.
"	``	"
We	PP	we
know	VBP	know
from	IN	from
the	DT	the
research	NN	research
that	IN	that
in-person	NN	in-person
connections	NNS	connection
tend	VBP	tend
to	TO	to
be	VB	be
stronger	JJR	strong
than	IN	than
virtual	JJ	virtual
connections	NNS	connection
,	,	,
right	RB	right
?	SENT	?
But	CC	but
I	PP	I
think	VBP	think
that	IN	that
that	DT	that
research	NN	research
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
account	NN	account
for	IN	for
certain	JJ	certain
communities	NNS	community
like	IN	like
people	NNS	people
with	IN	with
disabilities	NNS	disability
,	,	,
people	NNS	people
with	IN	with
severe	JJ	severe
social	JJ	social
anxiety	NN	anxiety
,	,	,
even	RB	even
older	JJR	old
people	NNS	people
that	IN	that
aren	NNS	<unknown>
'	POS	'
t	NN	t
as	IN	as
mobile	JJ	mobile
,	,	,
who	WP	who
tend	VBP	tend
to	TO	to
find	VB	find
connections	NNS	connection
online	JJ	online
.	SENT	.
And	CC	and
even	RB	even
though	RB	though
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
online	JJ	online
connections	NNS	connection
tend	VBP	tend
to	TO	to
not	RB	not
be	VB	be
as	RB	as
deep	JJ	deep
as	IN	as
in	IN	in
person	NN	person
,	,	,
they	PP	they
can	MD	can
get	VB	get
deep	RB	deep
if	IN	if
you	PP	you
'	POS	'
re	NN	re
practicing	VBG	practice
the	DT	the
same	JJ	same
skills	NNS	skill
that	IN	that
you	PP	you
can	MD	can
practice	VB	practice
in	IN	in
offline	NN	<unknown>
connection	NN	connection
to	TO	to
establish	VB	establish
deeper	JJR	deep
relationships	NNS	relationship
.	SENT	.
So	RB	so
,	,	,
for	IN	for
example	NN	example
,	,	,
like	VB	like
,	,	,
the	DT	the
research	NN	research
finds	VBZ	find
that	IN	that
if	IN	if
you	PP	you
'	POS	'
re	NN	re
just	RB	just
passively	RB	passively
scrolling	VBG	scroll
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
doomscrolling	NN	doomscrolling
,	,	,
it	PP	it
makes	VBZ	make
you	PP	you
more	RBR	more
lonely	JJ	lonely
and	CC	and
negatively	RB	negatively
impacts	VBZ	impact
your	PP$	your
mental	JJ	mental
health	NN	health
and	CC	and
well-being	NN	well-being
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
are	VBP	be
engaging	VBG	engage
actively	RB	actively
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
I	PP	I
'	POS	'
m	NN	m
posting	VBG	post
,	,	,
I	PP	I
'	POS	'
m	NN	m
commenting	VBG	comment
on	IN	on
something	NN	something
that	IN	that
you	PP	you
shared	VBD	share
,	,	,
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
congratulations	NNS	congratulation
to	TO	to
you	PP	you
,	,	,
that	WDT	that
'	POS	'
s	NN	S
actually	RB	actually
linked	VBN	link
to	TO	to
less	JJR	less
loneliness	NN	loneliness
and	CC	and
is	VBZ	be
something	NN	something
that	WDT	that
actually	RB	actually
makes	VBZ	make
us	PP	us
feel	VBP	feel
more	RBR	more
satisfied	VBN	satisfy
in	IN	in
our	PP$	our
relationships	NNS	relationship
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
have	VB	have
deep	JJ	deep
virtual	JJ	virtual
connections	NNS	connection
,	,	,
it	PP	it
'	POS	'
s	NN	S
certainly	RB	certainly
possible	JJ	possible
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
to	TO	to
bring	VB	bring
those	DT	those
same	JJ	same
principles	NNS	principle
that	IN	that
we	PP	we
use	VBP	use
in	IN	in
offline	NN	<unknown>
connections	NNS	connection
to	TO	to
create	VB	create
more	JJR	more
intimacy	NN	intimacy
,	,	,
things	NNS	thing
like	IN	like
being	VBG	be
vulnerable	JJ	vulnerable
with	IN	with
someone	NN	someone
,	,	,
being	VBG	be
generous	JJ	generous
with	IN	with
them	PP	them
or	CC	or
showing	VBG	show
affection	NN	affection
towards	IN	towards
them	PP	them
.	SENT	.
That	WDT	that
also	RB	also
works	VBZ	work
online	JJ	online
.	SENT	.
They	PP	they
feel	VBP	feel
like	IN	like
they	PP	they
like	VBP	like
one	PP	one
another	DT	another
more	RBR	more
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
vulnerable	JJ	vulnerable
with	IN	with
someone	NN	someone
who	WP	who
'	POS	'
s	NN	S
avoidantly	RB	<unknown>
attached	VBN	attach
,	,	,
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
happen	VB	happen
.	SENT	.
The	DT	the
avoidantly	RB	<unknown>
attached	VBN	attach
person	NN	person
doesn	NN	<unknown>
'	POS	'
t	NN	t
like	IN	like
you	PP	you
more	RBR	more
because	IN	because
you	PP	you
'	POS	'
re	NN	re
vulnerable	JJ	vulnerable
,	,	,
because	IN	because
they	PP	they
have	VBP	have
their	PP$	their
own	JJ	own
wounds	NNS	wound
around	IN	around
vulnerability	NN	vulnerability
,	,	,
right	RB	right
?	SENT	?
They	PP	they
'	POS	'
ve	NN	ve
learned	VBD	learn
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
good	JJ	good
to	TO	to
be	VB	be
vulnerable	JJ	vulnerable
,	,	,
"	''	"
I	PP	I
shouldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
vulnerable	JJ	vulnerable
.	SENT	.
"	''	"
Like	IN	like
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
implicit	JJ	implicit
message	NN	message
that	IN	that
they	PP	they
have	VBP	have
that	DT	that
really	RB	really
inhibits	VBZ	inhibit
their	PP$	their
ability	NN	ability
to	TO	to
connect	VB	connect
.	SENT	.
So	IN	so
the	DT	the
implications	NNS	implication
of	IN	of
this	DT	this
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
that	IN	that
if	IN	if
you	PP	you
'	POS	'
re	NN	re
vulnerable	JJ	vulnerable
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
go	VB	go
well	RB	well
and	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
from	IN	from
a	DT	a
place	NN	place
of	IN	of
fear	NN	fear
,	,	,
remember	VBP	remember
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
always	RB	always
your	PP$	your
fault	NN	fault
.	SENT	.
That	DT	that
other	JJ	other
people	NNS	people
have	VBP	have
their	PP$	their
own	JJ	own
issues	NNS	issue
that	IN	that
they	PP	they
'	POS	'
re	NN	re
dealing	NN	dealing
with	IN	with
which	WDT	which
may	MD	may
lead	VB	lead
them	PP	them
to	TO	to
respond	VB	respond
to	TO	to
your	PP$	your
vulnerability	NN	vulnerability
negatively	RB	negatively
.	SENT	.
And	CC	and
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
you	PP	you
did	VBD	do
anything	NN	anything
wrong	JJ	wrong
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
think	VBP	think
if	IN	if
you	PP	you
continue	VBP	continue
to	TO	to
try	VB	try
to	TO	to
be	VB	be
vulnerable	JJ	vulnerable
with	IN	with
this	DT	this
person	NN	person
who	WP	who
'	POS	'
s	NN	S
shown	VBN	show
you	PP	you
that	IN	that
they	PP	they
can	MD	can
'	''	'
t	NN	t
handle	VB	handle
it	PP	it
,	,	,
then	RB	then
I	PP	I
think	VBP	think
you	PP	you
should	MD	should
try	VB	try
to	TO	to
pivot	VB	pivot
,	,	,
right	RB	right
?	SENT	?
But	CC	but
just	RB	just
because	IN	because
someone	NN	someone
responded	VBD	respond
dismissively	RB	<unknown>
to	TO	to
your	PP$	your
vulnerability	NN	vulnerability
,	,	,
it	PP	it
might	MD	might
mean	VB	mean
that	IN	that
they	PP	they
have	VBP	have
their	PP$	their
own	JJ	own
issues	NNS	issue
to	TO	to
work	VB	work
out	RP	out
.	SENT	.
WPR	NN	WPR
:	:	:
I	PP	I
think	VBP	think
,	,	,
in	IN	in
sort	NN	sort
of	IN	of
thinking	VBG	think
about	IN	about
how	WRB	how
to	TO	to
make	VB	make
friendships	NNS	friendship
work	VB	work
well	RB	well
or	CC	or
to	TO	to
be	VB	be
really	RB	really
good	JJ	good
at	IN	at
this	DT	this
process	NN	process
of	IN	of
doing	VBG	do
this	DT	this
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
popular	JJ	popular
excerpt	NN	excerpt
from	IN	from
your	PP$	your
book	NN	book
that	IN	that
you	PP	you
shared	VBD	share
in	IN	in
"	``	"
The	DT	the
Atlantic	NP	Atlantic
"	``	"
where	WRB	where
you	PP	you
talked	VBD	talk
about	IN	about
the	DT	the
concept	NN	concept
of	IN	of
super	JJ	super
friends	NNS	friend
.	SENT	.
So	RB	so
what	WP	what
makes	VBZ	make
someone	NN	someone
a	DT	a
super	JJ	super
friend	NN	friend
,	,	,
and	CC	and
how	WRB	how
can	MD	can
we	PP	we
all	RB	all
strive	VBP	strive
to	TO	to
be	VB	be
super	JJ	super
friends	NNS	friend
?	SENT	?
MF	NN	MF
:	:	:
Yeah	RB	yeah
,	,	,
secure	JJ	secure
friends	NNS	friend
,	,	,
aka	NN	aka
super	JJ	super
friends	NNS	friend
.	SENT	.
These	DT	these
people	NNS	people
are	VBP	be
secure	JJ	secure
with	IN	with
themselves	PP	themselves
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
they	PP	they
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
try	VB	try
to	TO	to
use	VB	use
other	JJ	other
people	NNS	people
as	IN	as
a	DT	a
tool	NN	tool
to	TO	to
fulfill	VB	fulfill
their	PP$	their
sense	NN	sense
of	IN	of
self	NN	self
or	CC	or
to	TO	to
help	VB	help
them	PP	them
escape	VB	escape
threatening	VBG	threaten
emotions	NNS	emotion
or	CC	or
feelings	NNS	feeling
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
really	RB	really
humanize	VB	humanize
other	JJ	other
people	NNS	people
fully	RB	fully
.	SENT	.
And	CC	and
the	DT	the
research	NN	research
on	IN	on
securely	RB	securely
attached	VBN	attach
people	NNS	people
find	VBP	find
,	,	,
and	CC	and
again	RB	again
,	,	,
these	DT	these
are	VBP	be
the	DT	the
people	NNS	people
that	WDT	that
have	VBP	have
a	DT	a
history	NN	history
of	IN	of
healthy	JJ	healthy
relationships	NNS	relationship
,	,	,
but	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
earned-secure	NN	<unknown>
,	,	,
which	WDT	which
means	VBZ	mean
you	PP	you
may	MD	may
not	RB	not
have	VB	have
had	VBN	have
a	DT	a
history	NN	history
of	IN	of
healthy	JJ	healthy
relationships	NNS	relationship
,	,	,
but	CC	but
you	PP	you
'	POS	'
ve	NN	ve
done	VBN	do
the	DT	the
work	NN	work
on	IN	on
yourself	PP	yourself
to	TO	to
develop	VB	develop
a	DT	a
sense	NN	sense
of	IN	of
security	NN	security
,	,	,
right	RB	right
?	SENT	?
Remember	VB	remember
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
--	:	--
nobody	NN	nobody
'	POS	'
s	NNS	<unknown>
doomed	VBN	doom
by	IN	by
their	PP$	their
attachment	NN	attachment
style	NN	style
.	SENT	.
But	CC	but
what	WP	what
qualities	NNS	quality
do	VBP	do
we	PP	we
see	VBP	see
in	IN	in
them	PP	them
?	SENT	?
They	PP	they
'	POS	'
re	NN	re
more	RBR	more
likely	JJ	likely
to	TO	to
initiate	VB	initiate
friendships	NNS	friendship
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
more	RBR	more
likely	JJ	likely
to	TO	to
maintain	VB	maintain
friendships	NNS	friendship
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
less	RBR	less
likely	JJ	likely
to	TO	to
dissolve	VB	dissolve
friendships	NNS	friendship
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
more	RBR	more
generous	JJ	generous
towards	IN	towards
other	JJ	other
people	NNS	people
because	IN	because
,	,	,
again	RB	again
,	,	,
they	PP	they
fully	RB	fully
humanize	VBP	humanize
other	JJ	other
people	NNS	people
.	SENT	.
Insecurely	RB	insecurely
attached	VBN	attach
people	NNS	people
,	,	,
they	PP	they
sometimes	RB	sometimes
perceive	VBP	perceive
other	JJ	other
people	NNS	people
through	IN	through
the	DT	the
lens	NN	lens
of	IN	of
their	PP$	their
own	JJ	own
wounds	NNS	wound
,	,	,
right	RB	right
?	SENT	?
So	RB	so
anxiously	RB	anxiously
attached	VBN	attach
people	NNS	people
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
you	PP	you
need	VBP	need
to	TO	to
prove	VB	prove
to	TO	to
me	PP	me
that	IN	that
you	PP	you
value	VBP	value
me	PP	me
and	CC	and
you	PP	you
love	VBP	love
me	PP	me
because	IN	because
I	PP	I
'	POS	'
m	NN	m
so	RB	so
afraid	JJ	afraid
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
abandon	VB	abandon
me	PP	me
,	,	,
and	CC	and
then	RB	then
I	PP	I
can	MD	can
try	VB	try
to	TO	to
control	VB	control
you	PP	you
and	CC	and
make	VB	make
you	PP	you
do	VB	do
things	NNS	thing
to	TO	to
show	VB	show
me	PP	me
that	IN	that
you	PP	you
really	RB	really
,	,	,
really	RB	really
love	VBP	love
me	PP	me
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	IN	so
they	PP	they
'	POS	'
re	NN	re
not	RB	not
fully	RB	fully
humanizing	VBG	humanize
another	DT	another
person	NN	person
because	IN	because
they	PP	they
'	POS	'
re	NN	re
almost	RB	almost
seeing	VBG	see
that	DT	that
person	NN	person
as	IN	as
a	DT	a
tool	NN	tool
to	TO	to
fulfill	VB	fulfill
their	PP$	their
sense	NN	sense
of	IN	of
self	NN	self
.	SENT	.
Avoidantly	RB	<unknown>
attached	VBN	attach
people	NNS	people
,	,	,
they	PP	they
just	RB	just
think	VBP	think
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
out	RP	out
to	TO	to
harm	VB	harm
them	PP	them
and	CC	and
that	DT	that
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
untrustworthy	JJ	untrustworthy
.	SENT	.
So	RB	so
they	PP	they
almost	RB	almost
see	VBP	see
other	JJ	other
people	NNS	people
as	IN	as
threats	NNS	threat
,	,	,
so	RB	so
they	PP	they
don	VB	don
'	''	'
t	NN	t
fully	RB	fully
humanize	VB	humanize
people	NNS	people
for	IN	for
their	PP$	their
beauty	NN	beauty
and	CC	and
the	DT	the
resources	NNS	resource
that	IN	that
connecting	VBG	connect
with	IN	with
another	DT	another
person	NN	person
can	MD	can
bring	VB	bring
you	PP	you
.	SENT	.
But	CC	but
these	DT	these
securely	RB	securely
attached	VBN	attach
people	NNS	people
,	,	,
they	PP	they
tend	VBP	tend
to	TO	to
assume	VB	assume
other	JJ	other
people	NNS	people
like	IN	like
them	PP	them
.	SENT	.
I	PP	I
talked	VBD	talk
about	IN	about
something	NN	something
called	VBN	call
pronoia	NN	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
opposite	NN	opposite
of	IN	of
paranoia	NN	paranoia
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
idea	NN	idea
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
universe	NN	universe
is	VBZ	be
commiserating	VBG	commiserate
for	IN	for
your	PP$	your
success	NN	success
and	CC	and
for	IN	for
your	PP$	your
well-being	NN	well-being
and	CC	and
that	IN	that
you	PP	you
can	MD	can
trust	VB	trust
people	NNS	people
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
comfortable	JJ	comfortable
with	IN	with
vulnerability	NN	vulnerability
,	,	,
they	PP	they
'	POS	'
re	NN	re
more	RBR	more
empathic	JJ	empathic
,	,	,
they	PP	they
'	POS	'
re	NN	re
comfortable	JJ	comfortable
sharing	VBG	share
their	PP$	their
needs	NNS	need
,	,	,
but	CC	but
also	RB	also
fulfilling	VBG	fulfill
the	DT	the
needs	NNS	need
of	IN	of
other	JJ	other
people	NNS	people
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
more	RBR	more
responsive	JJ	responsive
to	TO	to
the	DT	the
needs	NNS	need
of	IN	of
other	JJ	other
people	NNS	people
.	SENT	.
When	WRB	when
they	PP	they
engage	VBP	engage
in	IN	in
conflict	NN	conflict
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	RB	about
perspective-taking	JJ	perspective-taking
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
like	IN	like
,	,	,
"	``	"
You	PP	you
do	VBP	do
this	DT	this
,	,	,
otherwise	RB	otherwise
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
pissed	VBN	piss
off	RP	off
.	SENT	.
"	``	"
They	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
These	DT	these
are	VBP	be
my	PP$	my
needs	NNS	need
.	SENT	.
What	WP	what
are	VBP	be
your	PP$	your
needs	NNS	need
?	SENT	?
Let	NP	Let
'	POS	'
s	JJ	<unknown>
figure	NN	figure
out	IN	out
a	DT	a
way	NN	way
to	TO	to
collaborate	VB	collaborate
and	CC	and
figure	VB	figure
out	RP	out
something	NN	something
that	WDT	that
will	MD	will
work	VB	work
for	IN	for
both	DT	both
of	IN	of
us	PP	us
.	SENT	.
So	RB	so
they	PP	they
tend	VBP	tend
to	TO	to
be	VB	be
quite	RB	quite
healing	VBG	heal
friends	NNS	friend
.	SENT	.
They	PP	they
tend	VBP	tend
to	TO	to
be	VB	be
--	:	--
I	PP	I
talked	VBD	talk
about	RB	about
avoidant	VB	<unknown>
being	VBG	be
low	JJ	low
effort	NN	effort
,	,	,
low	JJ	low
reward	NN	reward
.	SENT	.
Anxious	JJ	anxious
is	VBZ	be
high	JJ	high
effort	NN	effort
,	,	,
low	JJ	low
reward	NN	reward
.	SENT	.
Secure	JJ	secure
is	VBZ	be
high	JJ	high
effort	NN	effort
,	,	,
high	JJ	high
reward	NN	reward
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
friendship	NN	friendship
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
then	RB	then
what	WP	what
about	IN	about
friendships	NNS	friendship
where	WRB	where
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
necessarily	RB	necessarily
a	DT	a
difference	NN	difference
in	IN	in
values	NNS	value
,	,	,
but	CC	but
maybe	RB	maybe
a	DT	a
distance	NN	distance
,	,	,
whether	IN	whether
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
physical	JJ	physical
distance	NN	distance
has	VBZ	have
been	VBN	be
created	VBN	create
or	CC	or
some	DT	some
sort	NN	sort
of	IN	of
emotional	JJ	emotional
distance	NN	distance
because	IN	because
your	PP$	your
life	NN	life
has	VBZ	have
changed	VBN	change
in	IN	in
some	DT	some
way	NN	way
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
suggest	VBP	suggest
people	NNS	people
go	VB	go
about	IN	about
maintaining	VBG	maintain
and	CC	and
nurturing	VBG	nurture
those	DT	those
types	NNS	type
of	IN	of
relationships	NNS	relationship
?	SENT	?
MF	NN	MF
:	:	:
So	RB	so
there	EX	there
'	''	'
s	NN	S
research	NN	research
on	IN	on
long-distance	JJ	long-distance
friends	NNS	friend
that	WDT	that
finds	VBZ	find
that	IN	that
we	PP	we
are	VBP	be
helped	VBN	help
when	WRB	when
we	PP	we
perceive	VBP	perceive
our	PP$	our
friendships	NNS	friendship
as	IN	as
flexible	JJ	flexible
,	,	,
not	RB	not
fragile	JJ	fragile
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
perceive	VBP	perceive
that	IN	that
,	,	,
"	``	"
Oh	UH	oh
,	,	,
